iter	Passed	Remaining
0	4	4220
1	7	3952
2	11	3778
3	14	3719
4	18	3674
5	22	3652
6	25	3676
7	29	3670
8	32	3623
9	36	3621
10	41	3773
11	45	3721
12	48	3680
13	51	3645
14	55	3613
15	58	3601
16	61	3578
17	65	3557
18	68	3543
19	71	3525
20	75	3501
21	78	3480
22	81	3463
23	84	3452
24	88	3448
25	91	3433
26	97	3522
27	101	3511
28	104	3501
29	107	3484
30	111	3476
31	114	3461
32	117	3449
33	121	3441
34	124	3432
35	127	3424
36	131	3410
37	134	3396
38	137	3391
39	140	3380
40	144	3369
41	147	3359
42	150	3352
43	154	3352
44	157	3352
45	161	3345
46	164	3342
47	168	3336
48	171	3331
49	175	3327
50	178	3316
51	182	3325
52	187	3354
53	191	3358
54	197	3386
55	202	3420
56	207	3431
57	210	3423
58	214	3415
59	217	3414
60	221	3411
61	224	3403
62	228	3393
63	232	3393
64	235	3385
65	238	3374
66	241	3367
67	245	3358
68	249	3362
69	252	3356
70	256	3356
71	259	3350
72	263	3345
73	266	3336
74	269	3327
75	273	3319
76	276	3309
77	279	3308
78	284	3315
79	287	3305
80	290	3297
81	294	3295
82	297	3288
83	300	3278
84	303	3270
85	307	3264
86	310	3256
87	313	3248
88	316	3239
89	319	3232
90	322	3224
91	325	3217
92	329	3212
93	332	3204
94	335	3197
95	338	3190
96	342	3184
97	345	3177
98	348	3168
99	351	3160
100	354	3156
101	359	3164
102	362	3160
103	366	3157
104	370	3156
105	373	3151
106	377	3147
107	380	3142
108	385	3151
109	389	3154
110	393	3150
111	396	3144
112	401	3151
113	405	3147
114	409	3147
115	412	3143
116	416	3146
117	420	3141
118	424	3143
119	427	3137
120	431	3135
121	435	3131
122	439	3131
123	442	3127
124	447	3130
125	451	3131
126	455	3133
127	459	3130
128	463	3127
129	466	3123
130	470	3119
131	474	3117
132	477	3112
133	481	3109
134	484	3106
135	488	3103
136	492	3101
137	495	3096
138	499	3094
139	503	3093
140	507	3090
141	510	3086
142	514	3081
143	517	3075
144	521	3077
145	525	3076
146	529	3070
147	532	3064
148	535	3061
149	539	3055
150	542	3049
151	545	3043
152	548	3037
153	552	3035
154	555	3029
155	558	3023
156	562	3018
157	565	3012
158	569	3009
159	572	3004
160	575	2997
161	578	2991
162	581	2985
163	584	2980
164	587	2974
165	590	2968
166	593	2962
167	597	2956
168	600	2952
169	603	2947
170	606	2941
171	609	2936
172	616	2947
173	619	2942
174	623	2937
175	626	2932
176	632	2940
177	635	2936
178	640	2936
179	645	2940
180	654	2961
181	659	2964
182	662	2959
183	666	2956
184	670	2951
185	673	2947
186	676	2942
187	680	2938
188	683	2932
189	687	2932
190	691	2927
191	694	2923
192	697	2917
193	701	2913
194	704	2907
195	707	2902
196	711	2899
197	715	2897
198	718	2893
199	722	2889
200	725	2885
201	729	2880
202	732	2877
203	735	2871
204	739	2867
205	742	2862
206	746	2858
207	749	2853
208	752	2848
209	755	2843
210	759	2839
211	763	2837
212	767	2836
213	771	2832
214	774	2828
215	778	2824
216	781	2820
217	784	2815
218	787	2810
219	791	2806
220	794	2801
221	797	2796
222	801	2793
223	804	2788
224	808	2784
225	811	2779
226	814	2775
227	818	2770
228	821	2766
229	825	2762
230	828	2758
231	831	2753
232	835	2749
233	839	2746
234	842	2743
235	845	2738
236	849	2734
237	853	2733
238	857	2731
239	862	2730
240	866	2729
241	870	2726
242	875	2726
243	878	2722
244	882	2720
245	886	2718
246	890	2714
247	894	2712
248	899	2713
249	905	2716
250	910	2716
251	914	2714
252	918	2711
253	921	2707
254	925	2703
255	928	2698
256	932	2694
257	936	2692
258	940	2689
259	943	2685
260	947	2681
261	951	2679
262	954	2675
263	958	2671
264	961	2667
265	965	2663
266	968	2659
267	972	2655
268	975	2651
269	979	2647
270	982	2643
271	986	2639
272	989	2635
273	993	2631
274	996	2626
275	999	2622
276	1003	2619
277	1008	2619
278	1012	2616
279	1016	2613
280	1021	2614
281	1025	2612
282	1029	2608
283	1033	2605
284	1035	2597
285	1038	2593
286	1042	2588
287	1046	2586
288	1053	2591
289	1056	2586
290	1059	2582
291	1064	2581
292	1071	2584
293	1074	2580
294	1078	2577
295	1085	2581
296	1088	2576
297	1091	2571
298	1100	2579
299	1103	2575
300	1107	2570
301	1113	2572
302	1117	2570
303	1120	2566
304	1124	2561
305	1128	2559
306	1136	2565
307	1140	2563
308	1146	2562
309	1150	2560
310	1156	2562
311	1160	2558
312	1163	2553
313	1168	2552
314	1171	2548
315	1175	2544
316	1179	2540
317	1182	2536
318	1186	2533
319	1190	2530
320	1193	2525
321	1197	2521
322	1200	2516
323	1204	2512
324	1207	2507
325	1210	2503
326	1214	2498
327	1217	2494
328	1221	2490
329	1224	2486
330	1227	2481
331	1231	2477
332	1234	2473
333	1238	2469
334	1241	2464
335	1246	2464
336	1250	2459
337	1254	2456
338	1292	2520
339	1297	2517
340	1301	2515
341	1306	2513
342	1310	2510
343	1315	2507
344	1319	2505
345	1334	2522
346	1339	2520
347	1358	2544
348	1361	2539
349	1364	2534
350	1368	2530
351	1371	2525
352	1375	2520
353	1378	2515
354	1381	2509
355	1384	2505
356	1388	2499
357	1392	2496
358	1395	2491
359	1399	2487
360	1403	2483
361	1406	2479
362	1410	2474
363	1413	2470
364	1417	2466
365	1421	2462
366	1424	2457
367	1428	2453
368	1432	2449
369	1436	2445
370	1439	2440
371	1442	2435
372	1446	2432
373	1450	2427
374	1453	2423
375	1457	2418
376	1461	2414
377	1464	2410
378	1468	2406
379	1471	2401
380	1475	2397
381	1479	2392
382	1482	2388
383	1486	2384
384	1491	2382
385	1496	2379
386	1500	2376
387	1503	2371
388	1507	2367
389	1511	2363
390	1514	2359
391	1516	2352
392	1519	2347
393	1523	2342
394	1527	2338
395	1530	2334
396	1534	2330
397	1538	2326
398	1541	2321
399	1545	2318
400	1548	2313
401	1552	2309
402	1555	2304
403	1558	2299
404	1561	2294
405	1564	2289
406	1568	2285
407	1571	2280
408	1574	2275
409	1577	2270
410	1581	2266
411	1584	2261
412	1587	2256
413	1590	2251
414	1594	2247
415	1597	2243
416	1600	2238
417	1603	2233
418	1605	2226
419	1608	2221
420	1612	2217
421	1615	2212
422	1618	2207
423	1621	2203
424	1624	2198
425	1629	2195
426	1633	2191
427	1636	2187
428	1640	2183
429	1643	2179
430	1647	2174
431	1650	2170
432	1654	2166
433	1656	2159
434	1659	2154
435	1662	2150
436	1665	2145
437	1668	2141
438	1672	2137
439	1675	2132
440	1679	2128
441	1682	2124
442	1686	2120
443	1689	2116
444	1693	2111
445	1696	2107
446	1699	2102
447	1703	2098
448	1706	2093
449	1709	2089
450	1713	2085
451	1716	2081
452	1721	2078
453	1724	2074
454	1732	2075
455	1737	2073
456	1741	2069
457	1745	2065
458	1749	2061
459	1753	2058
460	1757	2055
461	1762	2052
462	1766	2049
463	1770	2045
464	1775	2042
465	1779	2039
466	1783	2035
467	1786	2030
468	1789	2026
469	1793	2022
470	1797	2018
471	1801	2015
472	1804	2011
473	1808	2007
474	1812	2003
475	1817	2000
476	1821	1996
477	1824	1992
478	1828	1988
479	1833	1986
480	1837	1982
481	1840	1977
482	1845	1975
483	1849	1971
484	1852	1966
485	1855	1962
486	1858	1958
487	1862	1953
488	1865	1949
489	1869	1945
490	1873	1941
491	1876	1937
492	1879	1933
493	1884	1929
494	1887	1925
495	1890	1921
496	1894	1917
497	1897	1912
498	1900	1908
499	1904	1904
500	1907	1899
501	1910	1895
502	1914	1891
503	1917	1887
504	1921	1883
505	1924	1878
506	1928	1874
507	1931	1870
508	1934	1866
509	1937	1861
510	1941	1858
511	1945	1854
512	1949	1850
513	1952	1846
514	1955	1841
515	1960	1838
516	1963	1834
517	1967	1831
518	1972	1827
519	1976	1824
520	1979	1820
521	1983	1815
522	1986	1811
523	1990	1808
524	1994	1804
525	1997	1800
526	2000	1795
527	2005	1792
528	2008	1788
529	2012	1784
530	2016	1780
531	2019	1776
532	2023	1772
533	2026	1768
534	2030	1764
535	2033	1760
536	2037	1756
537	2040	1752
538	2044	1748
539	2047	1744
540	2051	1740
541	2055	1736
542	2058	1732
543	2062	1728
544	2065	1724
545	2069	1720
546	2072	1716
547	2076	1712
548	2079	1708
549	2083	1704
550	2087	1701
551	2091	1697
552	2094	1693
553	2098	1689
554	2103	1686
555	2106	1682
556	2109	1677
557	2113	1673
558	2116	1669
559	2119	1665
560	2123	1661
561	2126	1657
562	2129	1653
563	2133	1649
